sortie_id,pattern_id,gap_id,candidate_id,relay_uav_id,relay_session_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_session_energy_kWh,end_soc,coverage_start_offset_s,coverage_end_offset_s,relay_uav_occupancy_s,energy_component_occupancy_s,dispatch_offset_s,relay_session_end_soc,relay_session_energy_release_time_s
P016895-1,P016895,PG005650,RP076066,R01,R01-RS005,E02,465,955.3534244838022,985.699,1734.52,2072,2372,2740,0.41353996894932,0.1020435105243659,0.0735233750916206,0.2379730833333333,0.413646,0.8707687597033376,985.699,1734.52,1906.25894688834,2274.2595592740013,465.34557551619775,0.870735625,2740.0436875
P050623-1,P050623,PG006584,RP055709,R01,R01-RS001,E04,2372,2809.8513508930864,2840.709,4016.155,4303,4603,5010,0.5088381114068796,0.0854658190639572,0.0550415701207,0.3683307222222223,0.509101,0.8409880901853501,953.709,2129.155,2229.664470218791,2636.379952977836,485.8576491069133,0.8409059375,5009.82228125
P008500-1,P008500,PG004643,RP063949,R01,R01-RS002,E05,5053,5413.300601865107,5443.642,6530.686,6743,7043,7417,0.4301095416004517,0.060970050337777,0.0278204912626747,0.341319,0.485776,0.8655907682498588,943.642,2030.686,1988.715326512602,2363.447327787786,553.3413981348936,0.848195,7621.3465
P002753-1,P002753,PG002131,RP063949,R01,R01-RS002,E05,5524,5884.300601865107,5914.701,6712.529,6924,7224,7563,0.3417379860448962,0.060970050337777,0.0278204912626747,0.2529474444444444,0.485776,0.89320687936097,734.701,1532.529,1699.4993265126022,2038.3303833433413,344.4003981348936,0.848195,7621.3465
P002863-1,P002863,PG002223,RP075602,R01,R01-RS004,E06,7813,8043.625107261465,8074.176,8572.056,8638,8938,8994,0.1806809493435042,0.0178280946596896,0.0015561880171479,0.1612966666666666,0.180849,0.9435372033301548,675.176,1173.056,1124.3814019110328,1180.0970209310572,414.55089273853474,0.9434846875,8994.04646875
P008594-1,P008594,PG004720,RP072448,R01,R01-RS003,E01,8944,9243.135201183704,9273.484,9881.222,10016,10316,10524,0.257847373067173,0.0397351980950987,0.0232477860831853,0.1948643888888888,0.257954,0.9194226959165084,869.484,1477.222,1371.4615767041587,1579.0985924301551,540.3487988162964,0.919389375,10523.8469375
P002874-1,P002874,PG002234,RP082327,R02,R02-RS003,E01,367,721.8355022428693,752.646,1172.835,1385,1685,1814,0.2181281119023439,0.0598285524124071,0.0207418094899367,0.13755775,0.218376,0.9318349650305175,752.646,1172.835,1316.4948779395147,1445.934598247254,367.8104977571307,0.9317575,1814.9277499999998
P008233-1,P008233,PG004556,RP016472,R02,R02-RS001,E03,1685,2392.7805488462477,2423.2,3462.759,4028,4328,4785,0.6326759249724851,0.1726000371315112,0.1332661933965294,0.3268096944444444,1.821347,0.8022887734460984,745.2,1784.759,2641.986571589793,3099.0111661098654,7.419451153752448,0.43082906249999997,9157.92221875
P001179-1,P001179,PG000886,RP016472,R02,R02-RS001,E03,1701,2408.7805488462477,2439.176,3561.692,4127,4427,4894,0.6580238971947073,0.1726000371315112,0.1332661933965294,0.3521576666666667,1.821347,0.794367532126654,765.176,1887.692,2724.943571589793,3192.265779825143,27.395451153752447,0.43082906249999997,9157.92221875
P008204-1,P008204,PG004539,RP016472,R02,R02-RS001,E03,1790,2497.7805488462477,2528.494,3567.129,4132,4432,4889,0.6323935916391518,0.1726000371315112,0.1332661933965294,0.3265273611111111,1.821347,0.8023770026127651,740.494,1779.129,2641.062571589793,3097.9724681931984,2.7134511537524304,0.43082906249999997,9157.92221875
P051203-1,P051203,PG006643,RP016472,R02,R02-RS001,E03,3499,4206.780548846247,4236.832,5095.192,5660,5960,6395,0.577309563861374,0.1726000371315112,0.1332661933965294,0.2714433333333333,1.821347,0.8195907612933206,1414.832,2273.192,2460.787571589793,2895.3195819084763,677.0514511537525,0.43082906249999997,9157.92221875
P008547-1,P008547,PG004680,RP016472,R02,R02-RS001,E03,5709,6416.780548846247,6447.216,7352.5380000000005,7918,8218,8658,0.591659063861374,0.1726000371315112,0.1332661933965294,0.2857928333333333,1.821347,0.8151065425433206,928.216,1833.538,2507.749571589793,2948.111066283476,190.4354511537524,0.43082906249999997,9157.92221875
P008402-1,P008402,PG004579,RP041762,R02,R02-RS002,E02,9855,10329.626207146897,10360.502,11312.695,11638,11938,12326,0.4630443477307794,0.0973504193677598,0.0655794005852418,0.3001145277777777,0.463311,0.8552986413341315,812.502,1764.695,2081.2234711378687,2469.3352374034976,307.8757928531033,0.8552153125,12326.22009375
