uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,1,S001,1,14.0,0.027,1.22307515767693,1192.470877312685,0.7282055205162379,False,inf,P000001-1,C006:1,0.0,0.0,U01,BAT_A01,0.0
A,2,S009>S002,2,17.0,0.039,2.948053836316883,2219.799820896939,0.3448769252629149,True,9702.642756880525,P001153-1,C011:1|C042:1,0.0,0.0,U02,BAT_A02,0.0
B,1,S003,2,28.0,0.054,2.935633182931117,2020.2414747964503,0.2660917042672206,False,inf,P002754-1,C016:2,0.0,5042.0,U05,BAT_B03,5042.0
B,1,S003,2,28.0,0.054,2.935633182931117,2020.2414747964503,0.2660917042672206,True,5911.9059292684415,P002756-1,C015:1|C016:1,0.0,5664.0,U06,BAT_B04,5664.0
B,1,S009,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.4984601296374624,True,9768.020631692572,P002863-1,C043:1|C044:1,0.0,3066.0,U05,BAT_B01,3066.0
B,1,S010,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.5447387642752544,True,2515.1776537694923,P002874-1,C045:1|C046:1|C047:1,0.0,0.0,U05,BAT_B01,0.0
B,1,S012,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.3111914298862741,True,2328.169980951245,P002888-1,C051:1|C052:1|C053:1,0.0,0.0,U06,BAT_B02,0.0
B,1,S013,3,25.0,0.067,1.824566933772147,1510.4000484846588,0.5438582665569632,True,2537.266642424337,P002895-1,C054:1|C055:1|C056:1,0.0,1555.0,U05,BAT_B03,1555.0
B,1,S014,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.4656739229572327,True,2358.1446076565912,P002902-1,C057:1|C058:1|C059:1,0.0,1924.0,U06,BAT_B04,1924.0
B,1,S015,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.4222743467451176,True,5981.773503754845,P002909-1,C060:1|C061:1|C062:1,0.0,3803.0,U06,BAT_B02,3803.0
C,1,S001,5,70.0,0.135,2.728480567856419,1429.4261775174657,0.6589399290179476,False,inf,P008320-1,C006:5,0.0,3739.0,U08,BAT_C01,3739.0
C,1,S001,9,70.0,0.232,2.728480567856419,1693.4261775174657,0.6589399290179476,True,2219.1019112412678,P008382-1,C001:1|C002:1|C003:3|C004:2|C005:1|C006:1,0.0,0.0,U07,BAT_C01,0.0
C,1,S002,7,67.0,0.184,6.300747965355022,2177.00675724525,0.2124065043306222,True,2045.0866213773752,P008441-1,C007:1|C008:2|C009:1|C010:1|C011:2,0.0,0.0,U08,BAT_C02,0.0
C,1,S004,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.2278861572025446,True,5614.43796751608,P008547-1,C017:1|C018:1|C019:1|C020:1|C021:2,0.0,5275.0,U08,BAT_C04,5275.0
C,1,S005,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.4701532040286814,True,9425.342679682091,P008594-1,C022:1|C023:1|C024:1|C025:1|C026:2,0.0,7414.0,U07,BAT_C01,7414.0
C,1,S006,6,59.0,0.156,2.5939758810401803,1560.8632994307263,0.6757530148699775,True,2390.923350284637,P008641-1,C027:1|C028:1|C029:1|C030:1|C031:2,0.0,2178.0,U08,BAT_C04,2178.0
C,2,S007>S003,9,70.0,0.232,5.941568400889239,2825.312759084484,0.2573039498888451,True,2132.299366748965,P025360-1,C012:1|C013:2|C014:1|C032:1|C033:1|C034:1|C035:1|C036:1,0.0,1694.0,U07,BAT_C03,1694.0
C,2,S011>S008,8,70.0,0.196,6.377502256793861,2696.427513918611,0.2028122179007674,True,5207.611684040056,P051203-1,C037:1|C038:1|C039:1|C040:1|C041:1|C048:1|C049:1|C050:1,0.0,4717.0,U07,BAT_C02,4717.0
